District,Scrub lands,Barren lands,Open forest,Sand,Total
Ampara,40531,22550,103705,1285,168071
Anuradhapura,117222,8154,70543,0,198026
Badulla,126647,3742,127656,0,258045
Batticaloa,58251,16856,24325,892,100324
Colombo,1066,162861,191,2279
Galle,6454,181,5941,252,12828
Gampaha,5121,746,1570,375,7811
Hambantota,53217,2222,37456,1555,94450
Jaffna,9928,7750,1096,5920,66808
Kalutara,16468,151,14080,239,30938
Kandy,22448,1122,87944,0,111515
Kegalle,12522,469,14235,0,27226
Kilinochchi,13960,7806,8508,2530,58256
Kurunegala,38396,1027,20206,1,59630
Mannar,32532,9391,17940,465,75379
Matale,31047,2930,112991,0,146968
Matara,2174,108,1660,137,4078
Moneragala,202953,1844,145499,0,350296
Mullaitivu,27621,5902,29933,642,88749
Nuwara Eliya,33582,555,52807,0,86944
Polonnaruwa,60743,10996,57998,0,129737
Puttalam,42660,5650,18174,2332,68817
Ratnapura,62244,1883,67576,0,131703
Trincomalee,46942,18139,62628,563,128275
Vavuniya,23978,2427,13487,0,75247
